date,vader_mean,finbert_mean
2009-04-20,-0.27796,-0.6429004
2009-04-21,-0.146532,-0.60313475
2009-04-22,-0.18921599999999997,-0.9105029
2009-04-23,-0.17674,-0.61289006
2009-04-24,-0.179864,-0.6416021
2009-04-25,-0.222252,-0.5606446
2009-04-26,-0.259084,-0.6270117
2009-04-27,-0.146084,-0.7374207
2009-04-28,-0.284096,-0.47842774
2009-04-29,-0.118552,-0.7151172
2009-04-30,-0.32004400000000005,-0.32249025
2009-05-01,-0.261628,-0.74966156
2009-05-02,-0.18268,-0.39947823
2009-05-03,-0.137988,-0.3226166
2009-05-04,-0.220472,-0.6011634
2009-05-05,-0.326552,-0.42269394
2009-05-06,-0.23608,-0.5291493
2009-05-07,-0.14536,-0.72411567
2009-05-08,-0.255224,-0.56677365
2009-05-09,-0.19166,-0.5407214
2009-05-10,-0.30894,-0.46944654
2009-05-11,-0.23178,-0.7067677
2009-05-12,-0.214628,-0.6593881
2009-05-13,-0.154208,-0.39708078
2009-05-14,-0.33992,-0.34655273
2009-05-15,-0.029264000000000002,-0.65985376
2009-05-16,-0.275192,-0.2010254
2009-05-17,-0.021964000000000004,-0.93706775
2009-05-18,-0.21758,-0.6702265
2009-05-19,-0.12816,-0.5086609
2009-05-20,-0.42044800000000004,-0.44595703
2009-05-21,-0.298092,-0.46114257
2009-05-22,-0.232268,-0.42381835
2009-05-23,-0.239688,-0.6922852
2009-05-24,-0.2829,-0.45300293
2009-05-25,-0.262116,-0.6774609
2009-05-26,-0.126808,-0.6883984
2009-05-27,-0.095088,-0.30082032
2009-05-28,-0.171952,-0.57057434
2009-05-29,-0.200516,-0.05336964
2009-05-30,-0.17158400000000001,-0.6185254
2009-05-31,-0.250056,-0.6978125
2009-06-01,-0.138244,-0.6539258
2009-06-02,-0.100924,-0.49286133
2009-06-03,-0.17235599999999998,-0.25916016
2009-06-04,-0.06897199999999999,-0.59334475
2009-06-05,0.007403999999999997,-0.6222997
2009-06-06,-0.268104,-0.556084
2009-06-07,-0.265136,-0.5936083
2009-06-08,-0.19615200000000002,-0.75516784
2009-06-09,-0.38968800000000003,-0.47827148
2009-06-10,-0.19863599999999998,-0.66881835
2009-06-11,-0.131524,-0.334684
2009-06-12,-0.14266399999999999,-0.57349676
2009-06-13,-0.251908,-0.32652342
2009-06-14,-0.231776,-0.6223828
2009-06-15,-0.257416,-0.5924805
2009-06-16,-0.16018000000000002,-0.5212768
2009-06-17,-0.175948,-0.42552733
2009-06-18,-0.231912,-0.6772726
2009-06-19,-0.24496400000000002,-0.60509765
2009-06-20,-0.228804,-0.5927344
2009-06-21,-0.35180800000000007,-0.6174963
2009-06-22,0.004840000000000012,-0.7651337
2009-06-23,-0.33232,-0.2166504
2009-06-24,-0.313288,-0.5269494
2009-06-25,-0.038548,-0.7804213
2009-06-26,-0.303404,-0.6188867
2009-06-27,-0.228916,-0.7078516
2009-06-28,-0.262316,-0.48892578
2009-06-29,-0.264828,-0.45338348
2009-06-30,-0.069788,-0.6683301
2009-07-01,-0.11898,-0.59621096
2009-07-02,-0.146748,-0.57307374
2009-07-03,-0.24155200000000002,-0.7100293
2009-07-04,-0.10115600000000001,-0.65169924
2009-07-05,-0.171008,-0.5711523
2009-07-06,-0.372876,-0.39432618
2009-07-07,-0.33797199999999994,-0.60545164
2009-07-08,-0.274176,-0.7146582
2009-07-09,-0.345384,-0.41557616
2009-07-10,-0.397632,-0.5556445
2009-07-11,-0.09966799999999999,-0.64086974
2009-07-12,-0.14573599999999998,-0.36078003
2009-07-13,-0.279244,-0.7563672
2009-07-14,-0.303404,-0.42631835
2009-07-15,-0.445792,-0.65908206
2009-07-16,-0.232208,-0.784375
2009-07-17,-0.283172,-0.3581836
2009-07-18,-0.239324,-0.5074686
2009-07-19,-0.2379,-0.52856445
2009-07-20,-0.251204,-0.26313484
2009-07-21,-0.212768,-0.54245114
2009-07-22,-0.11171199999999999,-0.7732373
2009-07-23,-0.30748,-0.5989746
2009-07-24,-0.13266,-0.6011328
2009-07-25,-0.244012,-0.42578346
2009-07-26,-0.247688,-0.53143626
2009-07-27,-0.264832,-0.31129396
2009-07-28,-0.301712,-0.5633594
2009-07-29,-0.247444,-0.45435548
2009-07-30,-0.279788,-0.43510178
2009-07-31,-0.223028,-0.19420166
2009-08-01,-0.23470399999999997,-0.49003905
2009-08-02,-0.19063200000000002,-0.57985896
2009-08-03,-0.122832,-0.5639844
2009-08-04,-0.270596,-0.42947266
2009-08-05,-0.23072800000000002,-0.84195983
2009-08-06,-0.151836,-0.5282129
2009-08-07,-0.303308,-0.4606939
2009-08-08,-0.118244,-0.35950744
2009-08-09,-0.358596,-0.55563384
2009-08-10,-0.225728,-0.34208983
2009-08-11,-0.26345199999999996,-0.49658692
2009-08-12,-0.043919999999999994,-0.795918
2009-08-13,-0.19040800000000002,-0.5502539
2009-08-14,-0.157936,-0.83264655
2009-08-15,-0.23994,-0.57996094
2009-08-16,-0.209676,-0.40142578
2009-08-17,-0.27842,-0.62970704
2009-08-18,-0.129636,-0.33923462
2009-08-19,-0.22623200000000002,-0.6429691
2009-08-20,-0.09178800000000001,-0.76759034
2009-08-21,-0.37369199999999997,-0.474375
2009-08-22,-0.286476,-0.5165064
2009-08-23,-0.09522,-0.6887838
2009-08-24,-0.17282,-0.8148242
2009-08-25,-0.201892,-0.6560254
2009-08-26,-0.14107599999999998,-0.6727246
2009-08-27,-0.282168,-0.7082618
2009-08-28,-0.15172,-0.56916016
2009-08-29,-0.146924,-0.25551757
2009-08-30,-0.050888,-0.72913146
2009-08-31,-0.22359600000000002,-0.7917383
2009-09-01,-0.18171199999999998,-0.49861085
2009-09-02,-0.13971600000000003,-0.6423593
2009-09-03,-0.176668,-0.26964825
2009-09-04,-0.196484,-0.45890626
2009-09-05,-0.17537916666666667,-0.5356607
2009-09-06,-0.22558,-0.6423828
2009-09-07,-0.19233600000000003,-0.41124997
2009-09-08,-0.15926,-0.48137102
2009-09-09,-0.17055199999999998,-0.67214996
2009-09-10,-0.157136,-0.79439455
2009-09-11,-0.17437999999999998,-0.51287836
2009-09-12,0.00446666666666667,-0.6781036
2009-09-13,-0.33103333333333335,-0.67181396
2009-09-14,-0.06322,-0.30138734
2009-09-15,0.03846818181818182,-0.5047753
2009-09-16,-0.09244400000000001,-0.63714266
2009-09-17,-0.37105600000000005,-0.34678197
2009-09-18,-0.191944,-0.39409178
2009-09-19,-0.0985391304347826,-0.61143154
2009-09-20,-0.20671739130434783,-0.625207
2009-09-21,-0.143764,-0.5046875
2009-09-22,-0.187576,-0.53939456
2009-09-23,-0.12297599999999999,-0.40158784
2009-09-24,-0.21416000000000002,-0.7555964
2009-09-25,-0.0628,-0.5517096
2009-09-26,-0.21631304347826089,-0.7574692
2009-09-27,-0.194316,-0.8853125
2009-09-28,-0.06176799999999999,-0.6517138
2009-09-29,-0.316792,-0.6077917
2009-09-30,-0.23726400000000003,-0.42518562
2009-10-01,-0.193332,-0.8223242
2009-10-02,-0.294204,-0.47407475
2009-10-03,-0.08970399999999999,-0.34145355
2009-10-04,-0.10391600000000001,-0.4891016
2009-10-05,-0.227016,-0.14089805
2009-10-06,-0.245012,-0.56326175
2009-10-07,-0.427904,-0.23898296
2009-10-08,-0.11154,-0.52267575
2009-10-09,-0.11784800000000001,-0.51329726
2009-10-10,-0.11793333333333333,-0.56663007
2009-10-11,-0.276656,-0.49466798
2009-10-12,-0.206428,-0.5163004
2009-10-13,-0.18267599999999998,-0.35685304
2009-10-14,-0.296268,-0.52486724
2009-10-15,-0.09097599999999999,-0.49941406
2009-10-16,-0.191616,-0.8224902
2009-10-17,-0.284532,-0.6440723
2009-10-18,-0.246516,-0.465306
2009-10-19,-0.215396,-0.23319946
2009-10-20,0.03369200000000001,-0.7450537
2009-10-21,-0.124608,-0.70363134
2009-10-22,-0.189452,-0.41721192
2009-10-23,-0.07020400000000002,-0.14547852
2009-10-24,-0.144356,-0.67555463
2009-10-25,-0.260622,-0.5214218
2009-10-26,-0.379872,-0.45046872
2009-10-27,-0.33138,-0.56221706
2009-10-28,-0.321716,-0.09888428
