Sample,t+1_Actual_scaled,t+1_LSTM_scaled,t+1_ARIMA_scaled,t+1_ENS_scaled,t+1_Actual_$,t+1_LSTM_$,t+1_ARIMA_$,t+1_ENS_$
163,0.9619127084888525,0.96756876,0.9610276869549862,0.9629900074134427,95.76862335205078,96.07055,95.72138027029901,95.82613033828554
164,0.9650694747265035,0.96853995,0.9618974514427542,0.9638902198608648,95.9371337890625,96.12239,95.76780892003018,95.87418432185555
165,0.9773469471467829,0.96987605,0.9640555223600039,0.9658016809367317,96.59251403808594,96.19371,95.88300828735444,95.97621947966468
166,0.9866425925187482,0.9715412,0.9779266775484782,0.9760110658988487,97.0887222290039,96.2826,96.6234604610974,96.52120374269559
167,0.9883965579856949,0.97350967,0.9863277130953158,0.9824823237997471,97.1823501586914,96.38767,97.07191374042603,96.86664411261899
168,0.9736637911752036,0.97577333,0.9886236475078197,0.9847685536064259,96.39590454101562,96.508514,97.19447235961893,96.9886846930198
169,0.9864672245568883,0.9782766,0.9736571480555664,0.9750429927116961,97.07936096191406,96.642136,96.39554992654342,96.46952730435792
170,0.9675251978892384,0.9809767,0.986329341550311,0.9847235552805149,96.06822204589844,96.78627,97.07200066851708,96.98628265023515
171,0.9803284883467486,0.9838333,0.9676117912286343,0.9724782656379217,96.75167083740234,96.93876,96.0728444602191,96.3326203408765
172,0.9801534062332374,0.986791,0.9813574647006783,0.9829875416128014,96.74232482910156,97.09664,96.8065983302928,96.89361300041578
173,1.00348020364408,0.9898128,0.978379206461664,0.9818092878878804,97.98752593994139,97.25795,96.64761677777737,96.83071697481559
174,0.995236766043274,0.9927896,1.0048421930365588,1.0012264348829762,97.5474853515625,97.416855,98.06022990673962,97.86721815334407
175,1.0115479874346778,0.99570507,0.9940111135163917,0.9945193177762935,98.41819000244139,97.57249,97.48205914405114,97.5091874505142
176,1.0043570434533793,0.99855936,1.0123728352557237,1.0082288033206692,98.03433227539061,97.724846,98.46222096841372,98.24100958315572
