date_seen_utc,headline,source,url
20250731T041500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | The Border Mail",,https://www.bordermail.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T041500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | The Advertiser - Cessnock",,https://www.cessnockadvertiser.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T041500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Cootamundra Herald",,https://www.cootamundraherald.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T041500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Braidwood Times",,https://www.braidwoodtimes.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T041500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Magnet",,https://www.edenmagnet.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T041500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Katherine Times",,https://www.katherinetimes.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T041500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Harden Murrumburrah Express",,https://www.hardenexpress.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T060000Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Merimbula News Weekly",,https://www.merimbulanewsweekly.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T060000Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Busselton - Dunsborough Mail",,https://www.busseltonmail.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T053000Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | The Courier",,https://www.thecourier.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T053000Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | The Irrigator",,https://www.irrigator.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
